,1,2,3,4,5,6,7,pre
273,0.6,0.9,0.9,1.8,0.6,0.6,0.9,0.9
274,0.9,0.9,1.8,0.6,0.6,0.9,0.9,1.2
275,0.9,1.8,0.6,0.6,0.9,0.9,1.2,1.5
276,1.8,0.6,0.6,0.9,0.9,1.2,1.5,2.4
277,0.6,0.6,0.9,0.9,1.2,1.5,2.4,1.2
278,0.6,0.9,0.9,1.2,1.5,2.4,1.2,1.5
279,0.9,0.9,1.2,1.5,2.4,1.2,1.5,1.5
280,0.9,1.2,1.5,2.4,1.2,1.5,1.5,2.4
281,1.2,1.5,2.4,1.2,1.5,1.5,2.4,2.1
282,1.5,2.4,1.2,1.5,1.5,2.4,2.1,1.2
283,2.4,1.2,1.5,1.5,2.4,2.1,1.2,0.9
284,1.2,1.5,1.5,2.4,2.1,1.2,0.9,0.9
285,1.5,1.5,2.4,2.1,1.2,0.9,0.9,1.2
286,1.5,2.4,2.1,1.2,0.9,0.9,1.2,1.8
287,2.4,2.1,1.2,0.9,0.9,1.2,1.8,0.9
288,2.1,1.2,0.9,0.9,1.2,1.8,0.9,0.9
289,1.2,0.9,0.9,1.2,1.8,0.9,0.9,1.8
290,0.9,0.9,1.2,1.8,0.9,0.9,1.8,1.8
291,0.9,1.2,1.8,0.9,0.9,1.8,1.8,1.8
292,1.2,1.8,0.9,0.9,1.8,1.8,1.8,0.9
293,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.2
294,0.9,0.9,1.8,1.8,1.8,0.9,1.2,2.4
295,0.9,1.8,1.8,1.8,0.9,1.2,2.4,1.8
296,1.8,1.8,1.8,0.9,1.2,2.4,1.8,1.5
297,1.8,1.8,0.9,1.2,2.4,1.8,1.5,2.4
298,1.8,0.9,1.2,2.4,1.8,1.5,2.4,1.2
299,0.9,1.2,2.4,1.8,1.5,2.4,1.2,2.7
300,1.2,2.4,1.8,1.5,2.4,1.2,2.7,3.0
301,2.4,1.8,1.5,2.4,1.2,2.7,3.0,1.5
302,1.8,1.5,2.4,1.2,2.7,3.0,1.5,2.2159999999999997
303,1.5,2.4,1.2,2.7,3.0,1.5,2.2159999999999997,2.7
304,2.4,1.2,2.7,3.0,1.5,2.2159999999999997,2.7,2.9044
305,1.2,2.7,3.0,1.5,2.2159999999999997,2.7,2.9044,1.8
306,2.7,3.0,1.5,2.2159999999999997,2.7,2.9044,1.8,3.3
307,3.0,1.5,2.2159999999999997,2.7,2.9044,1.8,3.3,1.8
308,1.5,2.2159999999999997,2.7,2.9044,1.8,3.3,1.8,2.7
309,2.2159999999999997,2.7,2.9044,1.8,3.3,1.8,2.7,3.6
310,2.7,2.9044,1.8,3.3,1.8,2.7,3.6,3.0
311,2.9044,1.8,3.3,1.8,2.7,3.6,3.0,4.5
312,1.8,3.3,1.8,2.7,3.6,3.0,4.5,3.0
313,3.3,1.8,2.7,3.6,3.0,4.5,3.0,4.5
314,1.8,2.7,3.6,3.0,4.5,3.0,4.5,4.8
315,2.7,3.6,3.0,4.5,3.0,4.5,4.8,4.5
316,3.6,3.0,4.5,3.0,4.5,4.8,4.5,3.0
317,3.0,4.5,3.0,4.5,4.8,4.5,3.0,2.4
318,4.5,3.0,4.5,4.8,4.5,3.0,2.4,3.3
319,3.0,4.5,4.8,4.5,3.0,2.4,3.3,1.5
320,4.5,4.8,4.5,3.0,2.4,3.3,1.5,2.4
321,4.8,4.5,3.0,2.4,3.3,1.5,2.4,3.9
322,4.5,3.0,2.4,3.3,1.5,2.4,3.9,2.1
323,3.0,2.4,3.3,1.5,2.4,3.9,2.1,3.0
324,2.4,3.3,1.5,2.4,3.9,2.1,3.0,2.8371
325,3.3,1.5,2.4,3.9,2.1,3.0,2.8371,3.0
326,1.5,2.4,3.9,2.1,3.0,2.8371,3.0,3.6
327,2.4,3.9,2.1,3.0,2.8371,3.0,3.6,4.8
328,3.9,2.1,3.0,2.8371,3.0,3.6,4.8,4.8
329,2.1,3.0,2.8371,3.0,3.6,4.8,4.8,4.8
330,3.0,2.8371,3.0,3.6,4.8,4.8,4.8,4.8
331,2.8371,3.0,3.6,4.8,4.8,4.8,4.8,3.9
332,3.0,3.6,4.8,4.8,4.8,4.8,3.9,5.1
333,3.6,4.8,4.8,4.8,4.8,3.9,5.1,4.5
334,4.8,4.8,4.8,4.8,3.9,5.1,4.5,5.1
335,4.8,4.8,4.8,3.9,5.1,4.5,5.1,4.2
336,4.8,4.8,3.9,5.1,4.5,5.1,4.2,4.0801
337,4.8,3.9,5.1,4.5,5.1,4.2,4.0801,5.7
338,3.9,5.1,4.5,5.1,4.2,4.0801,5.7,4.5
339,5.1,4.5,5.1,4.2,4.0801,5.7,4.5,5.7
340,4.5,5.1,4.2,4.0801,5.7,4.5,5.7,3.9
341,5.1,4.2,4.0801,5.7,4.5,5.7,3.9,3.9
342,4.2,4.0801,5.7,4.5,5.7,3.9,3.9,6.0
343,4.0801,5.7,4.5,5.7,3.9,3.9,6.0,6.0
344,5.7,4.5,5.7,3.9,3.9,6.0,6.0,4.5
345,4.5,5.7,3.9,3.9,6.0,6.0,4.5,4.8
346,5.7,3.9,3.9,6.0,6.0,4.5,4.8,4.5194
347,3.9,3.9,6.0,6.0,4.5,4.8,4.5194,5.7
348,3.9,6.0,6.0,4.5,4.8,4.5194,5.7,4.5
349,6.0,6.0,4.5,4.8,4.5194,5.7,4.5,5.1
350,6.0,4.5,4.8,4.5194,5.7,4.5,5.1,5.7
351,4.5,4.8,4.5194,5.7,4.5,5.1,5.7,5.4
