,1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93
47883,0.26,0.06,0.03,0.02,0.03,0.04,0.03,0.07,0.89,0.42,0.24,0.19,0.53,0.45,0.28,0.28,0.57,0.45,0.61,0.41,0.28,0.3,0.59,0.1
48249,0.03,0.02,0.03,0.04,0.04,0.03,0.03,0.02,0.04,0.03,0.04,0.03,0.01,0.04,0.04,0.03,0.03,0.02,0.03,0.04,0.03,0.04,0.03,0.02
48615,0.46,0.37,0.42,0.45,0.42,0.42,0.39,0.5,0.59,0.66,0.48,0.62,0.62,0.64,0.53,0.42,0.58,0.51,0.47,0.56,0.79,0.67,0.65,0.49
48981,0.5,0.12,0.1,0.02,0.09,0.09,0.44,0.24,0.1,0.21,0.85,0.67,0.88,0.7,0.18,0.84,0.61,0.87,0.69,1.18,1.46,0.41,0.44,0.19
49347,2.46,1.62,1.65,1.63,1.56,1.06,0.04,0.08,0.1,0.16,0.25,0.09,1.22,0.59,0.05,0.05,0.1,0.06,0.09,0.29,0.4,0.64,2.05,2.16
49713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49782,0.38,0.11,0.04,0.05,0.04,0.04,0.06,0.12,0.05,0.89,0.46,0.36,0.4,0.48,0.4,0.33,0.41,0.74,0.61,1.42,0.77,0.45,0.14,0.1
50144,0.09,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.07,0.11,0.12,0.11,0.13,0.11,0.13,0.14,0.12,0.14,0.06,0.02
50510,0.14,0.3734,0.2113,0.06,0.13,0.1,0.111,0.1418,0.2001,0.2675,0.74,0.19,0.09,0.123,0.0972,0.09,0.07,0.11,0.08,0.09,0.07,1.56,0.8973,1.0418
50862,0.11,0.09,0.08,0.1,0.09,0.0873,0.0923,0.1,0.09,0.08,0.1,0.09,0.1,0.1,0.07,0.1,0.09,0.1,0.08,0.09,0.1,0.09,0.09,0.09
51224,1.09,0.22,0.18,0.26,0.19,0.18,0.21,0.24,0.23,0.2,0.43,0.53,0.59,0.73,0.34,0.37,0.31,0.56,0.29,0.39,0.3,0.82,0.83,0.4
51590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51956,0.33,0.03,0.04,0.04,0.02,0.06,0.03,0.04,0.38,0.09,0.12,0.23,0.23,0.03,0.02,0.66,0.08,0.15,0.24,0.56,0.32,0.32,0.61,0.16
52322,0.3435,0.13,0.154,0.09,0.06,0.06,0.09,0.07,0.05,0.11,0.33,0.28,0.63,0.17,0.51,0.4,0.07,0.09,0.28,1.08,0.57,0.52,0.95,1.36
